serial,day,month,year,season,time,bin_depth_min,bin_depth_max,n,depth_mean,depth_sd,depth_cv,temp_mean,temp_sd,temp_cv,cond_mean,cond_sd,cond_cv,ph_mean,ph_sd,ph_cv,turb_units,turb_mean,turb_sd,turb_cv,chloro_mean,chloro_sd,chloro_cv,do_percent_mean,do_percent_sd,do_percent_cv,do_ppm_mean,do_ppm_sd,do_ppm_cv,lat,long
114,17,6,2013,Spring,1835,5.5,6.5,5,6.102,0.311,0.050967,19.524,0.157,0.008,0.25,0.001,0.004,8.164,0.005,0.001,NTU,803.24,0.879,0.001,2.1,0,0,76.4,0.158,0.002,7.008,0.037,0.005,41.76275,-82.95038
114,17,6,2013,Spring,1835,6.5,7.5,4,7.08,0.151,0.021328,19.135,0.079,0.004,0.251,0.001,0.004,8.16,0,0,NTU,801.05,0.48,0.001,2.1,0,0,76.8,0.082,0.001,7.1,0.022,0.003,41.76275,-82.95038
114,17,6,2013,Spring,1835,7.5,8.5,6,8.018,0.334,0.041656,19,0.026,0.001,0.251,0.001,0.004,8.142,0.008,0.001,NTU,800.3,0.141,0.00018,2.1,0,0,76.917,0.041,0.001,7.132,0.008,0.001,41.76275,-82.95038
114,17,6,2013,Spring,1835,8.5,9.5,5,9.038,0.354,0.039168,18.94,0.01,0.001,0.252,0,0,8.12,0.007,0.001,NTU,641.64,354.104,0.552,2.06,0.089,0.043,77,0,0,7.144,0.005,0.001,41.76275,-82.95038
114,17,6,2013,Spring,1835,9.5,10.5,4,9.933,0.238,0.023961,18.91,0.008,0.000423,0.252,0,0,8.105,0.006,0.001,NTU,8.2,0,0,4.075,0.964,0.237,98.25,0.265,0.003,9.123,0.022,0.002,41.76275,-82.95038
116,17,6,2013,Spring,1402,-0.5,0.5,3,0.062,0.001,0.016129,23.88,0.07,0.003,0.008,0.001,0.125,7.933,0.049,0.006,NTU,7.7,0,0,3.4,0,0,105.9,0.1,0.001,8.93,0.02,0.002,41.6633,-82.85012
120,17,6,2013,Spring,1130,-0.5,0.5,49,0.156,0.145,0.929487,21.81,0.485,0.022,0.218,0.1,0.459,7.897,0.075,0.009,NTU,29.451,27.202,0.924,2.253,3.957,1.756,83.067,3.957,0.048,7.29,0.417,0.057,41.56342,-82.75052
120,17,6,2013,Spring,1130,0.5,1.5,7,0.801,0.371,0.463171,20.639,0.281,0.014,0.278,0.002,0.007,8.046,0.021,0.003,NTU,8.914,0.508,0.057,3.657,1.765,0.483,94.729,3.055,0.032,8.5,0.319,0.038,41.56342,-82.75052
120,17,6,2013,Spring,1130,6.5,7.5,6,7.203,0.284,0.039428,19.642,0.004,0.000204,0.273,0,0,8.01,0,0,NTU,14.867,7.664,0.516,4.4,2.406,0.547,95.067,0.273,0.003,8.7,0.024,0.003,41.56342,-82.75052
120,17,6,2013,Spring,1130,5.5,6.5,5,6.025,0.372,0.061743,19.65,0,0,0.273,0.001,0.004,8.016,0.005,0.001,NTU,10.94,0.856,0.078,1.82,2.269,1.247,95.82,0.192,0.002,8.768,0.019,0.002,41.56342,-82.75052
120,17,6,2013,Spring,1130,4.5,5.5,8,4.898,0.297,0.060637,19.656,0.007,0.000356,0.273,0,0,8.031,0.006,0.001,NTU,10.825,0.725,0.067,2.25,3.594,1.597,96.725,0.369,0.004,8.848,0.033,0.004,41.56342,-82.75052
120,17,6,2013,Spring,1130,1.5,2.5,4,2.013,0.333,0.165425,20.098,0.146,0.007,0.274,0.001,0.004,8.068,0.005,0.001,NTU,10.6,0.548,0.052,4.075,2.128,0.522,97.675,0.222,0.002,8.857,0.048,0.005,41.56342,-82.75052
120,17,6,2013,Spring,1130,3.5,4.5,6,4.093,0.294,0.07183,19.725,0.052,0.003,0.272,0.001,0.004,8.047,0.005,0.001,NTU,10.3,0.322,0.031,3.367,1.299,0.386,97.717,0.204,0.002,8.928,0.01,0.001,41.56342,-82.75052
120,17,6,2013,Spring,1130,2.5,3.5,5,2.966,0.315,0.106204,19.772,0.041,0.002,0.273,0.001,0.004,8.064,0.005,0.001,NTU,10.72,0.383,0.036,2.44,1.193,0.489,98.02,0.084,0.001,8.946,0.011,0.001,41.56342,-82.75052
129,17,6,2013,Spring,815,12.5,13.5,2,12.766,0.223,0.017468,17.71,0.014,0.001,0.271,0,0,8.035,0.007,0.001,NTU,15.6,4.101,0.263,1.5,1.697,1.131,95.05,0.354,0.004,9.045,0.021,0.002,41.46347,-82.55025
129,17,6,2013,Spring,815,11.5,12.5,6,12.04,0.205,0.017027,17.892,0.142,0.008,0.27,0.001,0.004,8.045,0.005,0.001,NTU,11.467,0.715,0.062,1.367,1.174,0.859,96.55,0.68,0.007,9.158,0.037,0.004,41.46347,-82.55025
129,17,6,2013,Spring,815,10.5,11.5,5,10.985,0.346,0.031497,18.542,0.127,0.007,0.269,0.001,0.004,8.058,0.004,0.0005,NTU,9.02,0.614,0.068,NA,NA,NA,97.96,0.313,0.003,9.166,0.009,0.001,41.46347,-82.55025
129,17,6,2013,Spring,815,-0.5,0.5,12,0.315,0.112,0.355556,19.822,0.004,0.000202,0.271,0,0,8.06,0.009,0.001,NTU,8.05,0.183,0.023,2.467,0.993,0.403,98.542,1.19,0.012,8.985,0.109,0.012,41.46347,-82.55025
129,17,6,2013,Spring,815,9.5,10.5,5,10.005,0.34,0.033983,18.69,0.022,0.001,0.269,0,0,8.064,0.005,0.001,NTU,8.4,0.071,0.008,0.74,1.837,2.482,98.82,0.228,0.002,9.216,0.018,0.002,41.46347,-82.55025
129,17,6,2013,Spring,815,8.5,9.5,5,8.896,0.346,0.038894,18.768,0.024,0.001,0.269,0,0,8.076,0.005,0.001,NTU,8.56,0.207,0.024,1.5,2.131,1.421,99.58,0.228,0.002,9.274,0.018,0.002,41.46347,-82.55025
